instance,algorithm,iteration,best_cost
tai12a,TS-Reactive,500,224416
tai12a,TS-Reactive,600,224416
tai12a,TS-Reactive,700,224416
tai12a,TS-Reactive,800,224416
tai12a,TS-Reactive,900,224416
tai12a,TS-Reactive,1000,224416
tai12a,TS-Reactive,1100,224416
tai12a,TS-Reactive,1200,224416
tai12a,TS-Reactive,1300,224416
tai12a,TS-Reactive,1400,224416
tai12a,TS-Reactive,1500,224416
tai12a,TS-Reactive,1600,224416
tai12a,TS-Reactive,1700,224416
tai12a,TS-Reactive,1800,224416
tai12a,TS-Reactive,1900,224416
tai12a,TS-Reactive,2000,224416
tai12a,TS-Reactive,2100,224416
tai12a,TS-Reactive,2200,224416
tai12a,TS-Reactive,2300,224416
tai12a,TS-Reactive,2400,224416
tai12a,TS-Reactive,2500,224416
tai12a,TS-Reactive,2600,224416
tai12a,TS-Reactive,2700,224416
tai12a,TS-Reactive,2800,224416
tai12a,TS-Reactive,2900,224416
tai12a,TS-Reactive,3000,224416
nug14,TS-Original,0,1354
nug14,TS-Original,100,1024
nug14,TS-Original,200,1024
nug14,TS-Original,300,1024
nug14,TS-Original,400,1024
nug14,TS-Original,500,1024
nug14,TS-Original,600,1024
nug14,TS-Original,700,1024
nug14,TS-Original,800,1024
nug14,TS-Original,900,1024
nug14,TS-Original,1000,1024
nug14,TS-Original,1100,1024
nug14,TS-Original,1200,1024
nug14,TS-Original,1300,1024
nug14,TS-Original,1400,1024
nug14,TS-Original,1500,1024
nug14,TS-Original,1600,1024
nug14,TS-Original,1700,1024
nug14,TS-Original,1800,1024
nug14,TS-Original,1900,1024
nug14,TS-Original,2000,1024
nug14,TS-Original,2100,1024
nug14,TS-Original,2200,1024
nug14,TS-Original,2300,1024
nug14,TS-Original,2400,1024
nug14,TS-Original,2500,1024
nug14,TS-Original,2600,1024
nug14,TS-Original,2700,1024
nug14,TS-Original,2800,1024
nug14,TS-Original,2900,1024
nug14,TS-Original,3000,1024
nug14,TS-Reactive,0,1354
nug14,TS-Reactive,100,1024
